,Company Name,Location,Industry,Produktbeschreibung,Vertriebserfolge,Mitbewerber-Analyse,Beschreibung der Marktsituation,Durchgeführte Marktanalyse,Zielbranchen,Sales-Channel,Vertriebsaktivitäten,Team Members,Finanzierungs-Summe,Phase,Art der Finanzierung,Finanzierungsziel,Business Type,Looking for Investment
769,Tab Media Ltd.,Brooklyn,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungMedien & VerlagswesenVideo,N/A,Nein,"Suranga Chandratillake, Taymoor Atighetchi, Jack Rivlin, George Marangos-Gilks, Charlie Gardiner-Hill, Alex Whyte, George Herbert, Dave Jensen, Brad Vantone",12.991.579 USD,N/A,Series A,N/A,N/A,N/A
770,T2P,Bangkok,Banken & Finanzen + Versicherung,N/A,N/A,N/A,Keine Angabe,Nein,Banken & Finanzen + VersicherungKredite & Kapitalanlagen,N/A,Nein,Natwut Amornvivat,1.100.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
771,T2Cloud,Beijing,Hardware,N/A,N/A,N/A,Keine Angabe,Nein,HardwareSoftware,N/A,Nein,"Terry Wang, Kai Wu",31.278.185 USD,N/A,Series B,N/A,N/A,N/A
772,t-cell Europe GmbH,Kleinmachnow,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungGesundheitswesen & SozialesBiotechnologie,N/A,Nein,,N/A,N/A,Seed,N/A,N/A,N/A
773,T Dispatch,Berlin,Apps,N/A,N/A,N/A,Keine Angabe,Nein,"AppsSoftwareVerkehr, Transport & Logistik + Automobil",N/A,Nein,"Bryony Cooper, Csaba Szabo, Tiago Pita, Mario Brandao",1.000.000 EUR,N/A,Venture - Series Unknown,N/A,N/A,N/A
774,SzuperChess,Zagreb,Gaming,N/A,N/A,N/A,Keine Angabe,Nein,GamingSport & Unterhaltung,N/A,Nein,Joan Buch Prades,249.342 EUR,N/A,Seed,N/A,N/A,N/A
775,Systemone Technology Inc.,Northampton,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITGesundheitswesen & SozialesSoftware,N/A,Nein,"Nicolas Boillot, Chris Macek, Stefan Baumgartner",5.050.000 USD,N/A,Series A,N/A,N/A,N/A
776,SystematicBytes,Lahore,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITHandel & EinkaufMobilfunkbranchePlattformenVertrieb & MarketingSoftware,N/A,Nein,Nauman Qazi,10.000 USD,N/A,Seed,N/A,N/A,N/A
777,Systel Global Holdings,New York,Energie & Umwelt,N/A,N/A,N/A,Keine Angabe,Nein,Energie & UmweltNachhaltigkeit,N/A,Nein,John Medina,2.500.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
778,SysClass,Dallas,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,"BildungDienstleistung, Beratung + Recht & Steuern",N/A,Nein,Carlos Oliveira,1.750.000 USD,N/A,Seed,N/A,N/A,N/A
779,Syrenaica,Santiago,Medien & Verlagswesen,N/A,N/A,N/A,Keine Angabe,Nein,Medien & VerlagswesenGamingRegierung & MilitärMobilfunkbranchePlattformenSoftware,N/A,Nein,"Oscar Contreras, Felipe Budinich, José Luis Lavín, Milko Madariaga",40.000 USD,N/A,Seed,N/A,N/A,N/A
780,Syona,Chennai,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & SozialesHandel & Konsum,N/A,Nein,"Anuradha Balasubramanian, Raja Varatharaju",147.994 USD,N/A,Seed,N/A,N/A,N/A
781,"Synthio, Inc.",Atlanta,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITInternet & MultimediaDaten & AnalytikVertrieb & MarketingSoftware,N/A,Nein,"Bill Curran, Aaron Biddar, Mike Mitchell, Tim Poschel",12.800.000 USD,N/A,Series C,N/A,N/A,N/A
782,Synthelis,La Tronche,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,"Forschung & EntwicklungBiotechnologieDaten & AnalytikDesignProduktionVerkehr, Transport & Logistik + Automobil",N/A,Nein,"Sandra Cortes, Bruno Tillier, Paul Bonnabel",610.000 EUR,N/A,Venture - Series Unknown,N/A,N/A,N/A
783,Synthego Corp,Redwood City,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,"Forschung & EntwicklungGesundheitswesen & SozialesKünstliche IntelligenzBiotechnologieDaten & AnalytikProduktionDienstleistung, Beratung + Recht & SteuernSoftware",N/A,Nein,"Paul Dabrowski, Alex Pesch, Rich Stoner, Robert Deans, Fabian Gerlinghaus, Michael Dabrowski, Doug Carlisle, Keith Horwood, Kevin Holden, Aditya Vempaty, Ted Tisch, John Tan, Christopher Covington, Francisco Gimenez, Nathaniel Brooks Horwitz",259.694.663 USD,N/A,Series D,N/A,N/A,N/A
784,Synthace Limited,London,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungGesundheitswesen & SozialesInternet & MultimediaBiotechnologieProduktion,N/A,Nein,"Sami Mikati, Peter Crane, Sean Ward, Bob Wiederhold, Jonathan Malin, Craig Gershater, Michael Sadowski, Tim Fell, Markus Gershater, Mark Watson",45.976.151 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
785,Syntervention,Rocky Mount,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungGesundheitswesen & SozialesBiotechnologie,N/A,Nein,Norm Furbush,39.000 USD,N/A,Seed,N/A,N/A,N/A
786,TapCommerce LLC,New York,Marketing & PR,N/A,N/A,N/A,Keine Angabe,Nein,Marketing & PRAppsMobilfunkbrancheVertrieb & MarketingSoftware,N/A,Nein,"Brian Long, Tim Young, Andrew Jones, Ethan Lo, David Beisel, Samir Mirza, Tim Geisenheimer, Shanif Dhanani, Gordon Bowman, Andrew Levy, Bill Softky, Jean-Pierre Pommet",11.700.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
787,TapCanvas,Palo Alto,Mobilfunkbranche,N/A,N/A,N/A,Keine Angabe,Nein,MobilfunkbrancheSoftware,N/A,Nein,"Manu Kumar, Joshua Merrill, Adrien Cahen, Alok Mohindra",200.000 USD,N/A,Seed,N/A,N/A,N/A
788,TapBookAuthor,Palo Alto,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungAppsMedien & VerlagswesenSoftware,N/A,Nein,"Fredrik Medby Hagen, Sondre Bjornebekk",50.000 USD,N/A,Seed,N/A,N/A,N/A
789,Tapatalk Inc,Santa Monica,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaAppsMobilfunkbrancheSoftware,N/A,Nein,Winter Wong,5.800.000 USD,N/A,Seed,N/A,N/A,N/A
790,Tapastreet,Dublin,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaAppsMedien & VerlagswesenDaten & AnalytikMobilfunkbrancheNavigation & KartografieSoftwareVideo,N/A,Nein,"David Johnson, Joseph Mitchell",500.000 EUR,N/A,Seed,N/A,N/A,N/A
791,Tapas Revolution,Wembley,Lebensmittel & Getränke,N/A,N/A,N/A,Keine Angabe,Nein,Lebensmittel & GetränkeReisen & Tourismus,N/A,Nein,Omar Allibhoy,2.500.000 GBP,N/A,Venture - Series Unknown,N/A,N/A,N/A
792,"Tapas Media, Inc.",Burlingame,Medien & Verlagswesen,N/A,N/A,N/A,Keine Angabe,Nein,Medien & VerlagswesenMobilfunkbranche,N/A,Nein,"Sean Park, Teddy Zee, Chang Kim, Adrienne Horsley, Michael Son, April Kim, David D. Kim, Yoon Kim, Jessica Sanchez, Daron Hall, Suzy Kim, Josh Bakken, Hugh Lee",17.200.000 USD,N/A,Series B,N/A,N/A,N/A
793,"TAPAD, INC.",New York,Marketing & PR,N/A,N/A,N/A,Keine Angabe,Nein,Marketing & PRVertrieb & MarketingSoftware,N/A,Nein,"Barry Silbert, Rick Heitzmann, David S. Kidder, Michael Barrett, Jeff Samberg, Michael Yavonditte, Dave Morgan, Andrew Reis, Dag Liodden, Dave Fall, Scott Switzer, Rami Rahal, Ian Kane, Lewis Gersh, Spring Capital, Ben Arnon, Jim Clark, Are Traasdahl, Mark Connon, Jeremy Arnon, Sigvart Voss Eriksen, Andrew Slome, Jeff Olchovy, Vivian Chang, Susan Lietz, John Cattarulla, Bishwaroop Ganguly, Ryan Tennant, Jeff Driskill, Isaac Ahdout, Max Samis, Kate O'Loughlin, Mikkel Eriksen, Ben Regensburger, James Weinberg, Todd Benedict, George Gemelos, Nilay Gandhi, David Sanderson, Mikkel Sandvik, Chris Martin, Steve Kurtz, Sean Neems, Steffen Svartberg Kristiansen, Michael Moss, Jennifer Nedd, Sergey Fogelson, Brent Richey, Laura Koulet, Ajit Thupil, Taylor Herron, Adrienne Donovan",37.800.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
794,Tapactive,New York,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & SozialesAppsMobilfunkbrancheSoftware,N/A,Nein,Robert Victor,40.000 USD,N/A,Seed,N/A,N/A,N/A
795,Tap2print,Tel Aviv,Apps,N/A,N/A,N/A,Keine Angabe,Nein,"AppsDienstleistung, Beratung + Recht & SteuernSoftware",N/A,Nein,Assaf Margalit,150.000 USD,N/A,Seed,N/A,N/A,N/A
796,"Zhejiang Enterprise Network Technology Co., Ltd.",Hangzhou,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITInternet & MultimediaSoftware,N/A,Nein,,N/A,N/A,Series A,N/A,N/A,N/A
797,TaoTaoSou,Hangzhou,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaHandel & Einkauf,N/A,Nein,Jiancong Lin,10.487.092 USD,N/A,Series B,N/A,N/A,N/A
798,Taodyne,Valbonne,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITDaten & AnalytikDesignHardwareSoftware,N/A,Nein,"Anne Lempereur, Catherine Burvelle, Jérôme Forissier, Christophe Dinechin",133.000 EUR,N/A,Seed,N/A,N/A,N/A
799,Taodangpu,Beijing,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaHandel & Einkauf,N/A,Nein,Lun Li,31.000.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
800,Taochangzhou,Liyang,Lebensmittel & Getränke,N/A,N/A,N/A,Keine Angabe,Nein,Lebensmittel & Getränke,N/A,Nein,"YuFeng Zhou, Jianhong Zhang",320.000.000 CNY,N/A,Series B,N/A,N/A,N/A
801,"Tanvas, Inc.",Chicago,Unterhaltungselektronik,N/A,N/A,N/A,Keine Angabe,Nein,UnterhaltungselektronikHardwareSoftware,N/A,Nein,"Ben Buettell, Ed Colgate, Michael Peshkin, Greg Topel, Mondher Cherif, Nikos Iatropoulos, John Keating, Dan Gill, Phill LoPresti",6.000.000 USD,N/A,Series A,N/A,N/A,N/A
802,Tansna Therapeutics,St Louis,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,"Forschung & EntwicklungGesundheitswesen & SozialesBiotechnologieDienstleistung, Beratung + Recht & Steuern",N/A,Nein,"Craig Herron, Carter Williams, Raj Devraj, Max Baker",850.000 USD,N/A,Seed,N/A,N/A,N/A
803,tanni,Haidian,Textil & Mode,N/A,N/A,N/A,Keine Angabe,Nein,Textil & ModeHandel & EinkaufDesign,N/A,Nein,Danni Wu,20.000.000 CNY,N/A,Series A,N/A,N/A,N/A
804,Tankwell,Wieringerwerf,Verwaltungsdienstleistungen,N/A,N/A,N/A,Keine Angabe,Nein,"VerwaltungsdienstleistungenVerkehr, Transport & Logistik + Automobil",N/A,Nein,,N/A,N/A,Venture - Series Unknown,N/A,N/A,N/A
805,Tanktwo,Vantaa,"Verkehr, Transport & Logistik + Automobil",N/A,N/A,N/A,Keine Angabe,Nein,"Verkehr, Transport & Logistik + Automobil",N/A,Nein,"Bert Holtappels, Jaakko Jarvisto",N/A,N/A,Seed,N/A,N/A,N/A
806,Tactonic Technologies,Long Island City,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITHardwareSoftware,N/A,Nein,"Gerry Seidman, Ken Perlin, Charles Hendee",325.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
807,Tactilize,San Francisco,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaHandel & EinkaufMedien & VerlagswesenMobilfunkbranchePlattformenSoftware,N/A,Nein,"Nicolas Voisin, Valentin Squirelo",1.000.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
808,Tactile Mobility,Haifa,"Verkehr, Transport & Logistik + Automobil",N/A,N/A,N/A,Keine Angabe,Nein,"Verkehr, Transport & Logistik + Automobil",N/A,Nein,"Simon Halpern, Amit Nisenbaum, Vered Mandelboum Josef, Boaz Mizrachi",9.000.000 USD,N/A,Series B,N/A,N/A,N/A
809,Tactalis,Calgary,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITUnterhaltungselektronikHardwareSoftware,N/A,Nein,Douglas Hagedorn,500.000 CAD,N/A,Series A,N/A,N/A,N/A
810,"Tact.ai Technologies, Inc.",Sunnyvale,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITForschung & EntwicklungKünstliche IntelligenzDaten & AnalytikMobilfunkbrancheVertrieb & MarketingSoftware,N/A,Nein,"Mark Suster, Kevin Efrusy, Rashmi Gopinath, Satish Dharmaraj, Subrah Iyar, Trevor Templar, Chuck Ganapathi, Kevin Smith, Chris Bank, Vijay Jegan, John Eaton, Christie Gettler, Michael Thome, Leo Merle, Mark Masters, Adam Spivack",53.200.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
811,TACKLE GRAB LLC,East Sandwich,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaHandel & Einkauf,N/A,Nein,Stash Karandanis,1.052.500 USD,N/A,Seed,N/A,N/A,N/A
812,Tacit Innovations,Toronto,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITHardwareMobilfunkbranche,N/A,Nein,"Marc Altshuller, Brenda Crainic, Cristian Jucan",1.150.000 USD,N/A,Seed,N/A,N/A,N/A
813,TaCerto.com Corretora e Assessoria de Seguros Ltda.,São Paulo,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & EinkaufBanken & Finanzen + Versicherung,N/A,Nein,"Joao Cardoso, Ricardo Parro, Safin Ahmed, Vincent Daranyi, Jan Olof Stefenson, Sergio Maria, António Henrique, Mimi Newton, Caterine Parro, Tatiane Leiser",4.125.000 USD,N/A,Seed,N/A,N/A,N/A
814,Tacatì,Asti,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & EinkaufLebensmittel & Getränke,N/A,Nein,"Michele Constabile, Stefano Cravero, Giulia Valente",1.000.000 EUR,N/A,Seed,N/A,N/A,N/A
815,Tabula Lingua LLC,Austin,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,"Forschung & EntwicklungKünstliche IntelligenzDaten & AnalytikDienstleistung, Beratung + Recht & SteuernSoftware",N/A,Nein,,500.000 USD,N/A,Seed,N/A,N/A,N/A
816,TabTale Ltd.,Tel Aviv-yafo,Medien & Verlagswesen,N/A,N/A,N/A,Keine Angabe,Nein,Medien & VerlagswesenGaming,N/A,Nein,"Modi Rosen, Sagi Schliesser, Oran Kushnir, Yaron Avissar, Guy Tomer, Lior Naidorf, Nir Bejerano, Monica Warshavsky, Lior Malenboim, Elad Drory, Noa Levi",13.500.000 USD,N/A,Series B,N/A,N/A,N/A
817,TabSys,London,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITVertrieb & MarketingSoftware,N/A,Nein,"Steve Taylor, Max Johnson, Richard Almeida, Tom Nutley, Andy Gibson",249.000 GBP,N/A,Seed,N/A,N/A,N/A
818,TabSquare Pte Ltd.,Singapore,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungKünstliche IntelligenzDaten & AnalytikLebensmittel & GetränkeSoftwareReisen & Tourismus,N/A,Nein,"Serguei Netessine, Ivan Lee, Anshul Gupta, Chirag Tejuja, Kris Leong Seok Wan, Sankaran Sreeraman, Mike Holt",13.230.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
819,Tablo,Palo Alto,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungSoftware,N/A,Nein,"Dylan Pyle, David Merfield, Nick Cammarata",200.000 USD,N/A,Seed,N/A,N/A,N/A
820,Tabletize.com,Milan,Mobilfunkbranche,N/A,N/A,N/A,Keine Angabe,Nein,MobilfunkbrancheSoftware,N/A,Nein,"Franco Puppo, Fabrizio Preziosi, Nicolò Cavallo, Marco Piccardo",100.000 EUR,N/A,Seed,N/A,N/A,N/A
821,Tablet Seminerler,Istanbul,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungMedien & Verlagswesen,N/A,Nein,,500.000 TRY,N/A,Series A,N/A,N/A,N/A
822,Tablet Command,San Rafael,Software,N/A,N/A,N/A,Keine Angabe,Nein,Software,N/A,Nein,"Tad Buchanan, Clive Savacool",314.999 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
823,TableNOW,Tennessee,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaLebensmittel & GetränkeVertrieb & MarketingSoftware,N/A,Nein,"Pete Goettner, Santosh Jayaram, Antonio Altamirano, Peter Yi, Moshen Chan",9.920.000 USD,N/A,Series C,N/A,N/A,N/A
824,TableGrabber,Delhi,Apps,N/A,N/A,N/A,Keine Angabe,Nein,AppsHandel & EinkaufLebensmittel & GetränkeMobilfunkbrancheSoftware,N/A,Nein,"Thomas Wiborg Steen, Pawan Marwaha",323.819 USD,N/A,Seed,N/A,N/A,N/A
825,TableCheck Inc.,Tokyo,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITInternet & MultimediaAppsLebensmittel & GetränkeMobilfunkbrancheSoftwareReisen & Tourismus,N/A,Nein,"Akira Kurabayashi, John Shields, Yu Taniguchi, John Shields, Fukushima Sumio, Kokichi Yasui",1.040.500.000 JPY,N/A,Venture - Series Unknown,N/A,N/A,N/A
826,SYNQY Corporation,Pleasant Hill,Marketing & PR,N/A,N/A,N/A,Keine Angabe,Nein,Marketing & PRHandel & EinkaufMedien & VerlagswesenHardwareVertrieb & MarketingSoftware,N/A,Nein,"Michael Weissman, Gillian Muessig, Nik Chanda, John Hoye, Michael Toepel, Mark Sewell, Reagan Pollack",6.900.000 USD,N/A,Seed,N/A,N/A,N/A
827,Synqera,Saint Petersburg,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITHandel & EinkaufSoftware,N/A,Nein,"Kirill Gorynya, Filipp Shubin",4.000.000 USD,N/A,Seed,N/A,N/A,N/A
828,Synoste Oy,Espoo,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungGesundheitswesen & SozialesBiotechnologie,N/A,Nein,"Juha Haaja, Harri Hallila",11.809.628 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
829,Synetiq,Budapest,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungMarketing & PRKünstliche IntelligenzUnterhaltungselektronikDaten & AnalytikDesignHardwareVertrieb & MarketingSoftwareVideo,N/A,Nein,"Aurel Pasztor, David Ottlik, Ádám Divák, Diego Alonso, Katalin Bosze, Julia Csenge Halmos, Daniel Palma, András Serény",1.670.466 USD,N/A,Seed,N/A,N/A,N/A
830,SynerScope B.V.,Helvoirt,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITDaten & AnalytikDesignSoftware,N/A,Nein,"David Waroquier, Phil Loewen, Gregg Cooke, Richard Guha, Jorik Blaas, Jan-Kees Buenen, Danny Holten, Jack van Wijk, Pieter Stolk, Stef van den Elzen, Piek Vossen, Barry Zane",1.900.000 USD,N/A,Series A,N/A,N/A,N/A
831,SynergySuite,Dublin,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaAppsLebensmittel & GetränkeMobilfunkbrancheSoftware,N/A,Nein,"Anthony Prieto, Suzanne Keane, Niall Keane, Michael Wu, Corey Greendale",6.000.000 USD,N/A,Series A,N/A,N/A,N/A
832,Synergy Teletech,Noida,Energie & Umwelt,N/A,N/A,N/A,Keine Angabe,Nein,Energie & UmweltNatürliche Ressourcen,N/A,Nein,"Navneet Agarwal, Prasan Surana",N/A,N/A,Venture - Series Unknown,N/A,N/A,N/A
833,Synergy Biomedical,Collegeville,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungGesundheitswesen & SozialesBiotechnologie,N/A,Nein,Mark Borden,1.224.112 USD,N/A,Seed,N/A,N/A,N/A
834,"Synergis Education, Inc.",Mesa,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungSoftware,N/A,Nein,"Daniel Pianko, Ryan Craig, Gregg Rosenthal, David Figuli, Norman Allgood, Dalia Das, Lowell Vande Kamp, Lysa Hlavinka Clemens, Amit Avnet, Bob Haimes, Robert C. Dickeson, Paul Gleason, Scott Wenhold, John J. Donohue, Sabrina Ican, Joshua M. Pierce, Rick Dwyer, Clay Gillespie, Colin Malchow, Michael Zastrocky",45.732.000 USD,N/A,Series A,N/A,N/A,N/A
835,Syndy,Amstelveen,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaHandel & EinkaufMedien & VerlagswesenHardwareSoftware,N/A,Nein,"Laurens Groenendijk, Pieter van Herpen, Max Verduyn, Rogier Pennink, Vincent van Wissem",3.000.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
836,"Syndio Solutions, Inc.",Seattle,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,"Internet & MultimediaVerwaltungsdienstleistungenKünstliche IntelligenzDaten & AnalytikDienstleistung, Beratung + Recht & SteuernSoftware",N/A,Nein,"David Cremin, Maria Colacurcio, Zev Eigen, Robert Perille, Andee Harris, Rob Platzer, Willem Pieterson, Zachary Johnson, Rob Platzer, Noshir Contractor, Byron Deeter, Talia Goldberg, Diane Fraiman, Rob Pocarelli",32.425.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
837,"SyncOnSet Technologies, Inc.",Los Angeles,Software,N/A,N/A,N/A,Keine Angabe,Nein,SoftwareVideo,N/A,Nein,"Matthew Christensen, Jeffrey Silverman, Maia Heymann, Alexander LoVerde, Jeff Impey, Dan Stefanis, Brett Beaulieu-Jones, Bob Beitcher",8.188.947 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
838,Synchroneuron,Newton,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungGesundheitswesen & SozialesBiotechnologie,N/A,Nein,"Isaac Cheng, Barry S. Fogel, Marc R. Cote, Kei-Lai L. Fong, William D Kerns",26.000.000 USD,N/A,Series B,N/A,N/A,N/A
839,"SyncHR, Inc.",Denver,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaVerwaltungsdienstleistungenSoftware,N/A,Nein,"Pete Daffern, Ryan Drant, Nick Efstratis, Peter Behrendt, Paul Mifsud, Fred de Grosz, Andrew Chmyz, Gary Durbin, Gregory R. Morris, Peter Roshko, Pamela Glick, Brian S. Smith, Charles Var, Chip Corboy, Milen Manev, John Cuellar, Mike Moore, Alan Hoops, Ben Wolin, Scott Miller, Joe Grossnickle, Cynthia A. Phillips",45.981.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
840,Synch,Toronto,Software,N/A,N/A,N/A,Keine Angabe,Nein,Software,N/A,Nein,"Dan Kihanya, Scott Dyer, Changhao Han",N/A,N/A,Seed,N/A,N/A,N/A
841,Sync.ME,Tel Aviv,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITGemeinschaft & LifestyleSoftware,N/A,Nein,"Shlomo Unger, Ken Vinner",4.000.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
842,Sync.com Inc.,Toronto,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaPrivatsphäre & SicherheitSoftware,N/A,Nein,"Thomas Savundra, Darius Antia, Keith Christoffers",N/A,N/A,Pre-Seed,N/A,N/A,N/A
843,synavision GmbH,Bielefeld,Bau und Gebäudetechnik,N/A,N/A,N/A,Keine Angabe,Nein,Bau und GebäudetechnikVerwaltungsdienstleistungenSoftware,N/A,Nein,Stefan Plesser,N/A,N/A,Seed,N/A,N/A,N/A
844,Synata,San Francisco,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaSoftware,N/A,Nein,"Tonino Belmonte, Carter Foxgrover, Patrick White, Jateen Joshi, Amy Kalnoki",1.448.000 USD,N/A,Seed,N/A,N/A,N/A
845,Synartro AB,Uppsala,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungGesundheitswesen & SozialesBiotechnologie,N/A,Nein,Monika Vedin,2.265.000 EUR,N/A,Series A,N/A,N/A,N/A
846,Talent Rocket,München,"Dienstleistung, Beratung + Recht & Steuern",N/A,N/A,N/A,Keine Angabe,Nein,"Dienstleistung, Beratung + Recht & Steuern",N/A,Nein,,N/A,N/A,Seed,N/A,N/A,N/A
847,Talent Process,Mexico City,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITInternet & MultimediaVerwaltungsdienstleistungenSoftware,N/A,Nein,"Paolo Rizzi, William Gaber",N/A,N/A,Seed,N/A,N/A,N/A
848,Talem Health Solutions,Toronto,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & SozialesMobilfunkbrancheSoftware,N/A,Nein,"Morgan Moe, Anne Marie Paquette",80.000 CAD,N/A,Seed,N/A,N/A,N/A
849,Talech Inc.,Palo Alto,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaHandel & EinkaufDaten & Analytik,N/A,Nein,"Keith Nilsson, Irv Henderson, Shelley Chen, Leo Jiang, Joy Ghanekar, Al Echamendi, Anthony Keane, Boaz S. Maor, Don A. Lucas, Boaz Maor",22.438.837 USD,N/A,Series B,N/A,N/A,N/A
850,Tale Me Stories,Buenos Aires,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungInternet & MultimediaAppsGemeinschaft & LifestyleGamingSoftwareVideo,N/A,Nein,,25.000 USD,N/A,Seed,N/A,N/A,N/A
851,InVenture Capital Corporation,Santa Monica,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITDaten & AnalytikBanken & Finanzen + VersicherungKredite & KapitalanlagenMobilfunkbrancheSoftware,N/A,Nein,"Chris Sacca, Shivani Siroya, Kabir Misra, Kanyi Maqubela, Zachary Bogue, Jules Maltz, Kevin Novak, Steven Murray, Elizabeth Clarkson, Ajay Rajani, Chris Hughes, Ted Rheingold, Anay Shah, TJ Thinakaran, Johnny Lee, Nachiket Shiralkar, Jon Blackwell, Nishkaam Mehta, Alexander Fankuchen, Peter Sugimura, Jen Loo, Bonnie Oliva, Lauren Moores, Reini Chipman, Ami Gosalia, Dasami Moodley, Punam Brahmbhatt, Ian Garrett, Nithish Manoharan, Lauren Pruneski, Doug Astor, Jennifer Chong, Pat Yoder, Tom Schumacher, LiAnn Ishizuka, Jeff Richards, Zavain Dar, Jason Kong, Kunal Kaul, Jason Raneses, Diana Hong",204.439.706 USD,N/A,Series D,N/A,N/A,N/A
